Rk,Player,Tm,FantPos,Age,G,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecievingTD,FL,TotTD,FantPt,PPR
147,Boston Scott,PHI,RB,26,16,0,0,0,0,0,87,373,4.29,7,16,13,83,6.38,0,1,7,86,98.6
148,Odell Beckham Jr.,2TM,WR,29,14,0,0,0,0,0,2,14,7,0,82,44,537,12.2,5,0,5,85,129.1
149,D'Onta Foreman,TEN,RB,25,9,0,0,0,0,0,133,566,4.26,3,11,9,123,13.67,0,1,3,85,93.9
150,D'Ernest Johnson,CLE,RB,25,17,0,0,0,0,0,100,534,5.34,3,25,19,137,7.21,0,0,3,85,104.1
151,J.D. McKissic,WAS,RB,28,11,0,0,0,0,0,48,212,4.42,2,53,43,397,9.23,2,0,4,85,127.9
152,Byron Pringle,KAN,WR,28,17,0,0,0,0,0,0,0,,0,60,42,568,13.52,5,1,5,85,126.8
153,Jared Cook,LAC,TE,34,16,0,0,0,0,0,0,0,,0,83,48,564,11.75,4,0,4,84,132.4
154,Andy Dalton,CHI,QB,34,8,149,236,1515,8,9,16,76,4.75,0,0,0,0,,0,1,0,84,84.2
155,T.J. Hockenson,DET,TE,24,12,0,0,0,0,0,0,0,,0,84,61,583,9.56,4,0,4,84,145.3
156,Kalif Raymond,DET,WR,27,16,0,0,0,0,0,4,28,7,0,71,48,576,12,4,0,4,84,132.4
157,Brandon Bolden,NWE,RB,31,17,0,0,0,0,0,44,226,5.14,1,49,41,405,9.88,2,0,3,83,124.1
158,Tyler Huntley,BAL,QB,23,7,122,188,1081,3,4,47,294,6.26,2,0,0,0,,0,3,2,83,82.6
159,Ty Johnson,NYJ,RB,24,16,0,0,0,0,0,61,238,3.9,2,55,34,372,10.94,2,1,4,83,117
160,Mecole Hardman,KAN,WR,23,17,0,0,0,0,0,8,46,5.75,0,83,59,693,11.75,2,2,2,82,140.9
161,Mark Ingram,2TM,RB,32,14,0,0,0,0,0,160,554,3.46,2,35,27,162,6,0,1,2,82,108.6
162,Zack Moss,BUF,RB,24,13,0,0,0,0,0,96,345,3.59,4,32,23,197,8.57,1,1,5,82,105.2
163,Tyrod Taylor,HOU,QB,32,6,91,150,966,5,5,19,151,7.95,3,0,0,0,,0,0,3,82,81.7
164,Jarvis Landry,CLE,WR,29,12,0,0,0,0,0,6,40,6.67,2,87,52,570,10.96,2,2,4,81,133
165,Antonio Brown,TAM,WR,33,7,0,0,0,0,0,1,6,6,0,62,42,545,12.98,4,0,4,79,121.1
166,Rex Burkhead,HOU,RB,31,16,0,1,0,0,0,122,427,3.5,3,32,25,186,7.44,0,0,3,79,104.3
167,C.J. Uzomah,CIN,TE,28,16,0,0,0,0,0,0,0,,0,63,49,493,10.06,5,0,5,79,128.3
168,Darren Waller,LVR,TE,29,11,0,0,0,0,0,0,0,,0,93,55,665,12.09,2,0,2,79,133.5
169,Cole Beasley,BUF,WR,32,16,0,1,0,0,0,0,0,,0,112,82,693,8.45,1,0,1,77,159.3
170,Tyler Conklin,MIN,TE,26,17,0,0,0,0,0,0,0,,0,87,61,593,9.72,3,0,3,77,138.3
171,Deonte Harty,NOR,WR,24,13,0,0,0,0,0,5,41,8.2,0,59,36,570,15.83,3,1,3,77,113.1
172,Donovan Peoples-Jones,CLE,WR,22,14,0,0,0,0,0,0,0,,0,58,34,597,17.56,3,1,3,76,109.7
