Rank,Player,Team,Positon,Age,Games Played,Column7,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards ,Yards per Attempt,Rushing TD,Targets,Receptions,Receiving Yards,Yards per Receptions,Reciving Touchdowns,Fumbles Lost,Total TD,Fantasy Points,PPR Fantasy Points
92,Chuba Hubbard,CAR,RB,24,17,12,0,0,0,0,0,238,902,3.79,5,44,39,233,5.97,0,0,5,144,182.5
93,Josh Jacobs,LVR,RB,25,13,13,0,0,0,0,0,233,805,3.45,6,54,37,296,8.00,0,1,6,144,181.1
94,Jake Browning,CIN,QB,27,9,7,171,243,1936,12,7,27,127,4.70,3,1,1,-7,-7.00,0,0,3,143,144.4
95,Zack Moss,IND,RB,26,14,8,0,0,0,0,0,183,794,4.34,5,37,27,192,7.11,2,0,7,143,169.6
96,Devin Singletary,HOU,RB,26,17,10,1,1,6,1,0,216,898,4.16,4,38,30,193,6.43,0,0,4,137,167.3
97,Jonathan Taylor,IND,RB,24,10,7,0,0,0,0,0,169,741,4.38,7,23,19,153,8.05,1,0,8,137,156.4
98,Jaylen Warren,PIT,RB,25,17,0,0,0,0,0,0,149,784,5.26,4,74,61,370,6.07,0,2,4,135,196.4
99,Austin Ekeler,LAC,RB,28,14,14,0,0,0,0,0,179,628,3.51,5,74,51,436,8.55,1,4,6,134,185.4
100,Javonte Williams,DEN,RB,23,16,13,0,0,0,0,0,217,774,3.57,3,58,47,228,4.85,2,1,5,132,179.2
101,Zay Flowers,BAL,WR,23,16,16,0,0,0,0,0,8,56,7.00,1,108,77,858,11.14,5,0,6,129,206.4
102,Adam Thielen,CAR,WR,33,17,17,0,0,0,0,0,1,6,6.00,0,137,103,1014,9.84,4,0,4,128,231.0
103,Jaylen Waddle,MIA,WR,25,14,14,0,0,0,0,0,3,12,4.00,0,104,72,1014,14.08,4,0,4,127,198.6
104,Chris Godwin,TAM,WR,27,17,17,0,1,0,0,0,4,38,9.50,1,130,83,1024,12.34,2,0,3,126,209.2
105,Aidan O'Connell,LVR,QB,25,11,10,213,343,2218,12,7,17,11,0.65,1,0,0,0,,0,2,1,126,125.8
106,Ezekiel Elliott,NWE,RB,28,17,5,0,0,0,0,0,184,642,3.49,3,65,51,313,6.14,2,1,5,124,174.5
107,Tyler Lockett,SEA,WR,31,17,17,0,0,0,0,0,0,0,,0,122,79,894,11.32,5,0,5,123,202.4
108,Tyler Allgeier,ATL,RB,23,17,3,0,0,0,0,0,186,683,3.67,4,23,18,193,10.72,1,0,5,120,137.6
109,Zach Wilson,NYJ,QB,24,12,11,221,368,2271,8,7,36,211,5.86,0,0,0,0,,0,7,0,120,119.9
110,Brandin Cooks,DAL,WR,30,16,15,0,0,0,0,0,5,35,7.00,0,81,54,657,12.17,8,0,8,119,173.2
111,Tank Dell,HOU,WR,24,11,8,0,0,0,0,0,11,51,4.64,0,75,47,709,15.09,7,0,7,118,165.0
112,Garrett Wilson,NYJ,WR,23,17,17,0,1,0,0,0,4,0,0.00,0,168,95,1042,10.97,3,2,3,118,213.2
113,Gabriel Davis,BUF,WR,24,17,17,0,0,0,0,0,1,-2,-2.00,0,81,45,746,16.58,7,1,7,116,161.4
114,Romeo Doubs,GNB,WR,23,17,16,0,0,0,0,0,0,0,,0,96,59,674,11.42,8,0,8,115,174.4
115,Kenny Pickett,PIT,QB,25,12,12,201,324,2070,6,4,42,54,1.29,1,0,0,0,,0,0,1,110,110.2
116,Rashid Shaheed*+,NOR,WR,25,15,8,0,0,0,0,0,7,37,5.29,0,75,46,719,15.63,5,1,6,110,155.6
117,Rhamondre Stevenson,NWE,RB,25,12,12,0,0,0,0,0,156,619,3.97,4,51,38,238,6.26,0,1,4,108,145.7
118,Mac Jones,NWE,QB,25,11,11,224,345,2120,10,12,26,96,3.69,0,0,0,0,,0,2,0,106,106.4
119,Aaron Jones,GNB,RB,29,11,11,0,0,0,0,0,142,656,4.62,2,43,30,233,7.77,1,1,3,105,134.9
120,Cooper Kupp,LAR,WR,30,12,12,0,0,0,0,0,1,-3,-3.00,0,95,59,737,12.49,5,0,5,105,164.4
121,Drake London,ATL,WR,22,16,16,1,1,22,0,0,0,0,,0,110,69,905,13.12,2,0,2,105,174.4
122,Kareem Hunt,CLE,RB,28,15,2,0,0,0,0,0,135,411,3.04,9,21,15,84,5.60,0,0,9,104,118.5
123,Alexander Mattison,MIN,RB,25,16,13,0,0,0,0,0,180,700,3.89,0,44,30,192,6.40,3,2,3,103,133.2
124,Diontae Johnson,PIT,WR,27,13,11,0,0,0,0,0,0,0,,0,87,51,717,14.06,5,0,5,102,152.7
125,Will Levis,TEN,QB,24,9,9,149,255,1808,8,4,25,57,2.28,1,0,0,0,,0,4,1,102,102.0
126,Tyjae Spears,TEN,RB,22,17,1,0,0,0,0,0,100,453,4.53,2,70,52,385,7.40,1,0,3,102,153.8
127,Joe Flacco,CLE,QB,38,5,5,123,204,1616,13,8,9,2,0.22,0,0,0,0,,0,1,0,101,100.8
128,Darius Slayton,NYG,WR,26,17,13,0,0,0,0,0,0,0,,0,79,50,770,15.40,4,0,4,101,151.0
129,AJ Dillon,GNB,RB,25,15,6,0,0,0,0,0,178,613,3.44,2,28,22,223,10.14,0,0,2,96,117.6
130,Tee Higgins,CIN,WR,24,12,11,0,0,0,0,0,0,0,,0,76,42,656,15.62,5,0,5,96,137.6
131,Curtis Samuel,WAS,WR,27,16,13,0,0,0,0,0,7,39,5.57,1,91,62,613,9.89,4,0,5,95,157.2
132,Tommy DeVito,NYG,QB,25,9,6,114,178,1101,8,3,36,195,5.42,1,0,0,0,,0,1,1,94,93.5
133,Khalil Herbert,CHI,RB,25,12,9,0,0,0,0,0,132,611,4.63,2,31,20,134,6.70,1,1,3,93,112.5
134,Christian Kirk,JAX,WR,27,12,12,1,2,-1,0,0,1,6,6.00,0,85,57,787,13.81,3,2,3,93,150.3
135,Josh Downs,IND,WR,22,17,9,0,0,0,0,0,0,0,,0,98,68,771,11.34,2,0,2,89,157.1
136,Josh Reynolds,DET,WR,28,17,13,0,0,0,0,0,0,0,,0,64,40,608,15.20,5,1,5,89,128.8
137,Jerry Jeudy,DEN,WR,24,16,11,0,0,0,0,0,0,0,,0,87,54,758,14.04,2,0,2,88,141.8
138,Jaxon Smith-Njigba,SEA,WR,21,17,3,0,0,0,0,0,0,0,,0,93,63,628,9.97,4,0,4,87,149.8
139,Tyrod Taylor,NYG,QB,34,11,5,116,180,1341,5,3,38,197,5.18,0,0,0,0,,0,0,0,87,87.3
140,Deshaun Watson,CLE,QB,28,6,6,105,171,1115,7,4,26,142,5.46,1,0,0,0,,0,2,1,87,86.8
141,Marquise Brown,ARI,WR,26,14,14,0,0,0,0,0,2,23,11.50,0,101,51,574,11.25,4,0,4,84,134.7
142,Kyle Pitts,ATL,TE,23,17,15,0,0,0,0,0,1,-4,-4.00,0,90,53,667,12.58,3,0,3,84,137.3
143,DJ Chark,CAR,WR,27,15,11,0,0,0,0,0,0,0,,0,66,35,525,15.00,5,1,5,81,115.5
144,Justice Hill,BAL,RB,26,16,5,0,0,0,0,0,84,387,4.61,3,39,28,206,7.36,1,1,4,81,109.3
145,Dontayvion Wicks,GNB,WR,22,15,6,1,1,14,0,0,1,1,1.00,0,58,39,581,14.90,4,1,4,81,119.8
146,Ty Chandler,MIN,RB,25,17,4,0,0,0,0,0,102,461,4.52,3,25,21,159,7.57,0,0,3,80,101.0
147,D'Onta Foreman,CHI,RB,27,9,8,0,0,0,0,0,109,425,3.90,4,16,11,77,7.00,1,0,5,80,91.2
148,Ryan Tannehill,TEN,QB,35,10,8,149,230,1616,4,7,17,74,4.35,1,1,0,0,,0,0,1,80,80.0
149,Antonio Gibson,WAS,RB,25,16,2,0,0,0,0,0,65,265,4.08,1,59,48,389,8.10,2,2,3,79,127.4
150,Tyler Boyd,CIN,WR,29,17,13,0,1,0,0,1,2,11,5.50,0,98,67,667,9.96,2,0,2,78,144.8
151,Hunter Henry,NWE,TE,29,14,10,0,0,0,0,0,0,0,,0,61,42,419,9.98,6,0,6,78,119.9
152,Dallas Goedert,PHI,TE,28,14,14,0,0,0,0,0,1,1,1.00,0,83,59,592,10.03,3,0,3,77,136.3
153,Dalton Kincaid,BUF,TE,24,16,11,0,0,0,0,0,0,0,,0,91,73,673,9.22,2,1,2,77,150.3
154,Michael Wilson,ARI,WR,23,13,12,0,0,0,0,0,0,0,,0,58,38,565,14.87,3,0,3,77,114.5
155,Jahan Dotson,WAS,WR,23,17,16,0,0,0,0,0,0,0,,0,83,49,518,10.57,4,0,4,76,124.8
156,Rico Dowdle,DAL,RB,25,16,0,0,0,0,0,0,89,361,4.06,2,22,17,144,8.47,2,0,4,75,91.5
157,Jaleel McLaughlin,DEN,RB,23,17,3,0,0,0,0,0,76,410,5.39,1,36,31,160,5.16,2,0,3,75,106.0
158,Khalil Shakir,BUF,WR,23,17,10,0,0,0,0,0,1,10,10.00,0,45,39,611,15.67,2,0,2,74,113.1
159,Jonnu Smith,ATL,TE,28,17,6,0,1,0,0,0,1,0,0.00,0,70,50,582,11.64,3,1,3,74,124.2
160,Tutu Atwell,LAR,WR,24,16,14,0,0,0,0,0,5,31,6.20,0,67,39,483,12.38,3,0,3,73,112.4
161,Odell Beckham Jr.,BAL,WR,31,14,6,0,0,0,0,0,0,0,,0,64,35,565,16.14,3,1,3,73,107.5
162,Zach Charbonnet,SEA,RB,22,16,2,0,0,0,0,0,108,462,4.28,1,40,33,209,6.33,0,0,1,73,106.1
163,Elijah Moore,CLE,WR,23,17,12,0,0,0,0,0,9,11,1.22,0,104,59,640,10.85,2,2,2,73,132.1
164,Anthony Richardson,IND,QB,21,4,4,50,84,577,3,1,25,136,5.44,4,0,0,0,,0,1,4,73,72.7
165,Wan'Dale Robinson,NYG,WR,22,15,8,0,0,0,0,0,9,87,9.67,1,78,60,525,8.75,1,0,2,73,133.2
166,Christian Watson,GNB,WR,24,9,9,0,0,0,0,0,4,11,2.75,0,53,28,422,15.07,5,0,5,73,101.3
167,K.J. Osborn,MIN,WR,26,16,12,0,0,0,0,0,0,0,,0,75,48,540,11.25,3,0,3,72,120.0
168,Logan Thomas,WAS,TE,32,16,15,0,0,0,0,0,1,2,2.00,0,78,55,496,9.02,4,2,4,72,126.8
169,Isaiah Likely,BAL,TE,23,17,8,0,0,0,0,0,0,0,,0,40,30,411,13.70,5,0,5,71,101.1
170,Samaje Perine,DEN,RB,28,17,1,0,0,0,0,0,53,238,4.49,1,56,50,455,9.10,0,2,1,71,121.3
171,Cade Otton,TAM,TE,24,17,17,0,0,0,0,0,0,0,,0,67,47,455,9.68,4,1,4,70,116.5
172,Dameon Pierce,HOU,RB,23,14,7,0,0,0,0,0,145,416,2.87,2,17,13,101,7.77,0,0,3,70,82.7
173,Noah Brown,HOU,WR,27,10,7,0,0,0,0,0,1,-1,-1.00,0,55,33,567,17.18,2,0,2,69,101.6
174,Josh Palmer,LAC,WR,24,10,6,0,0,0,0,0,1,6,6.00,0,61,38,581,15.29,2,1,2,69,106.7
175,Bailey Zappe,NWE,QB,24,10,6,127,212,1272,6,9,17,83,4.88,1,0,0,0,,0,1,1,69,69.2
176,Roschon Johnson,CHI,RB,22,15,0,0,0,0,0,0,81,352,4.35,2,40,34,209,6.15,0,0,2,68,102.1
