Player,Rushing Yards,Receiving Yards,Passing Yards,Total TD,Fantasy Points,Games Played,Position,Yards_from_Scrimmage,Total_Yards,Avg_TD,Avg_Yards_from_Scrimmage,Avg_Passing_Yards,Avg_Total_Yards
Cam Newton,822.0,35,2657.0,13.0,345,23,QB,857.0,3514.0,0.5652173913043478,37.26086956521739,115.52173913043478,152.7826086956522
Cameron Brate,0.0,311,0.0,4.0,55,16,TE,311.0,311.0,0.25,19.4375,0.0,19.4375
Carlos Hyde,1426.0,135,0.0,10.0,212,26,RB,1561.0,1561.0,0.38461538461538464,60.03846153846154,0.0,60.03846153846154
Carson Wentz,734.0,0,4375.0,6.0,845,53,QB,734.0,5109.0,0.11320754716981132,13.849056603773585,82.54716981132076,96.39622641509433
Case Keenum,12.0,0,0.0,1.0,103,10,QB,12.0,12.0,0.1,1.2,0.0,1.2
Cedrick Wilson Jr.,11.0,602,0.0,0.0,103,16,WR,613.0,613.0,0.0,38.3125,0.0,38.3125
CeeDee Lamb,158.0,3396,0.0,7.0,493,49,WR,3554.0,3554.0,0.14285714285714285,72.53061224489795,0.0,72.53061224489795
Chase Claypool,112.0,2184,1.0,11.0,320,46,WR,2296.0,2297.0,0.2391304347826087,49.91304347826087,0.021739130434782608,49.93478260869565
Chase Edmonds,1343.0,975,0.0,10.0,344,54,RB,2318.0,2318.0,0.18518518518518517,42.925925925925924,0.0,42.925925925925924
Chigoziem Okonkwo,0.0,450,0.0,0.0,65,17,TE,450.0,450.0,0.0,26.470588235294116,0.0,26.470588235294116
Chris Carson,1911.0,553,0.0,18.0,347,27,RB,2464.0,2464.0,0.6666666666666666,91.25925925925925,0.0,91.25925925925925
Chris Conley,0.0,775,0.0,5.0,110,16,WR,775.0,775.0,0.3125,48.4375,0.0,48.4375
Chris Godwin,29.0,4299,0.0,16.0,579,55,WR,4328.0,4328.0,0.2909090909090909,78.69090909090909,0.0,78.69090909090909
Chris Moore,0.0,548,0.0,0.0,67,16,WR,548.0,548.0,0.0,34.25,0.0,34.25
Chris Olave,0.0,1042,0.0,0.0,126,15,WR,1042.0,1042.0,0.0,69.46666666666667,0.0,69.46666666666667
Christian Kirk,107.0,3420,0.0,9.0,487,61,WR,3527.0,3527.0,0.14754098360655737,57.81967213114754,0.0,57.81967213114754
Christian McCaffrey,2054.0,2238,34.0,25.0,790,43,RB,4292.0,4326.0,0.5813953488372093,99.81395348837209,0.7906976744186046,100.6046511627907
Christian Watson,0.0,611,0.0,0.0,123,14,WR,611.0,611.0,0.0,43.642857142857146,0.0,43.642857142857146
Chuba Hubbard,612.0,345,0.0,0.0,187,32,RB,957.0,957.0,0.0,29.90625,0.0,29.90625
Clyde EdwardsHelaire,1320.0,577,0.0,5.0,320,33,RB,1897.0,1897.0,0.15151515151515152,57.484848484848484,0.0,57.484848484848484
Cole Beasley,0.0,2438,20.0,10.0,321,46,WR,2438.0,2458.0,0.21739130434782608,53.0,0.43478260869565216,53.43478260869565
Cole Kmet,0.0,1156,0.0,0.0,158,34,TE,1156.0,1156.0,0.0,34.0,0.0,34.0
Cooper Kupp,55.0,4894,0.0,13.0,715,57,WR,4949.0,4949.0,0.22807017543859648,86.82456140350877,0.0,86.82456140350877
Cooper Rush,0.0,0,1051.0,0.0,57,9,QB,0.0,1051.0,0.0,0.0,116.77777777777777,116.77777777777777
Cordarrelle Patterson,618.0,670,0.0,0.0,317,29,RB,1288.0,1288.0,0.0,44.41379310344828,0.0,44.41379310344828
Corey Davis,0.0,2613,0.0,7.0,335,51,WR,2613.0,2613.0,0.13725490196078433,51.23529411764706,0.0,51.23529411764706
Courtland Sutton,17.0,2717,0.0,6.0,337,48,WR,2734.0,2734.0,0.125,56.958333333333336,0.0,56.958333333333336
Curtis Samuel,330.0,2134,0.0,12.0,365,48,WR,2464.0,2464.0,0.25,51.333333333333336,0.0,51.333333333333336
D.J. Moore,110.0,4413,0.0,8.0,571,64,WR,4523.0,4523.0,0.125,70.671875,0.0,70.671875
D.K. Metcalf,17.0,4218,0.0,17.0,623,66,WR,4235.0,4235.0,0.25757575757575757,64.16666666666667,0.0,64.16666666666667
DAndre Swift,1138.0,1198,0.0,10.0,434,40,RB,2336.0,2336.0,0.25,58.4,0.0,58.4
DErnest Johnson,534.0,137,0.0,0.0,85,17,RB,671.0,671.0,0.0,39.470588235294116,0.0,39.470588235294116
DJ Chark,20.0,2216,0.0,13.0,322,39,WR,2236.0,2236.0,0.3333333333333333,57.333333333333336,0.0,57.333333333333336
DOnta Foreman,566.0,149,0.0,0.0,211,26,RB,715.0,715.0,0.0,27.5,0.0,27.5
Dak Prescott,516.0,11,4716.0,7.0,993,49,QB,527.0,5243.0,0.14285714285714285,10.755102040816327,96.24489795918367,107.0
Dallas Goedert,0.0,2663,0.0,8.0,352,53,TE,2663.0,2663.0,0.1509433962264151,50.24528301886792,0.0,50.24528301886792
Dalton Schultz,0.0,2000,0.0,4.0,301,48,TE,2000.0,2000.0,0.08333333333333333,41.666666666666664,0.0,41.666666666666664
Dalvin Cook,3851.0,1399,0.0,30.0,904,58,RB,5250.0,5250.0,0.5172413793103449,90.51724137931035,0.0,90.51724137931035
Dameon Pierce,0.0,165,0.0,0.0,136,13,RB,165.0,165.0,0.0,12.692307692307692,0.0,12.692307692307692
Damien Harris,1620.0,281,0.0,2.0,352,36,RB,1901.0,1901.0,0.05555555555555555,52.80555555555556,0.0,52.80555555555556
Damien Williams,498.0,213,0.0,7.0,111,11,RB,711.0,711.0,0.6363636363636364,64.63636363636364,0.0,64.63636363636364
Damiere Byrd,15.0,604,0.0,1.0,68,16,WR,619.0,619.0,0.0625,38.6875,0.0,38.6875
Dan Arnold,0.0,438,0.0,4.0,66,16,TE,438.0,438.0,0.25,27.375,0.0,27.375
Daniel Jones,1000.0,16,6148.0,3.0,851,54,QB,1016.0,7164.0,0.05555555555555555,18.814814814814813,113.85185185185185,132.66666666666666
Danny Amendola,0.0,678,0.0,1.0,79,15,WR,678.0,678.0,0.06666666666666667,45.2,0.0,45.2
Darius Slayton,-1.0,2215,0.0,11.0,295,46,WR,2214.0,2214.0,0.2391304347826087,48.130434782608695,0.0,48.130434782608695
Darnell Mooney,52.0,2179,0.0,4.0,292,45,WR,2231.0,2231.0,0.08888888888888889,49.577777777777776,0.0,49.577777777777776
